,Player,Nation,Squad,Age,90s,PSxG+/-,PSxG+/-/PSxG
0,Brice Samba,FRA,Lens,29,70.0,13.700000000000001,0.18340026773761717
1,Walter Benítez,ARG,Nice,28,37.0,7.6,0.1784037558685446
2,Gianluigi Donnarumma,ITA,Paris S-G,24,79.0,16.1,0.17672886937431398
3,Kepa Arrizabalaga,ESP,Real Madrid,28,45.8,8.2,0.1701244813278008
4,Álvaro Vallés,ESP,Las Palmas,26,36.3,7.7,0.15811088295687883
5,Andriy Lunin,UKR,Real Madrid,24,30.0,4.300000000000001,0.14675767918088742
6,Ørjan Nyland,NOR,Sevilla,32,26.0,4.6,0.14556962025316453
7,Claudio Bravo,CHI,Betis,40,35.2,5.1,0.14529914529914528
8,Stefan Ortega,GER,Manchester City,30,43.1,9.9,0.14368650217706821
9,Paulo Gazzaniga,ARG,Girona,31,66.0,13.4,0.13900414937759337
10,David Ospina,COL,Napoli,32,31.0,3.6,0.13043478260869565
11,Marcin Bułka,POL,Nice,23,37.0,4.5,0.1267605633802817
12,Lucas Chevalier,FRA,Lille,21,65.0,8.2,0.12386706948640482
13,Thibaut Courtois,BEL,Real Madrid,31,70.7,8.1,0.12254160363086233
14,Michele Di Gregorio,ITA,Monza,26,68.9,11.1,0.1179596174282678
15,Michael Zetterer,GER,Werder Bremen,28,28.7,5.2,0.11764705882352941
16,Mory Diaw,SEN,Clermont Foot,30,67.0,12.5,0.1111111111111111
17,Alisson,BRA,Liverpool,30,101.0,11.2,0.1074856046065259
18,Jordi Masip,ESP,Valladolid,33,27.9,4.8,0.10480349344978167
19,Édgar Badía,ESP,Elche,30,60.0,10.8,0.10112359550561799
20,Benjamin Lecomte,FRA,Montpellier,32,59.0,7.7,0.1003911342894394
21,Giorgi Mamardashvili,GEO,Valencia,22,92.5,11.2,0.0989399293286219
22,Antonio Sivera,ESP,Alavés,26,37.1,4.3,0.09706546275395034
23,Gerónimo Rulli,ARG,Villarreal,30,46.0,3.7,0.09090909090909091
24,Unai Simón,ESP,Athletic Club,26,99.9,8.6,0.08464566929133858
25,Manolo Reina,ESP,Mallorca,36,21.0,2.2,0.08088235294117647
26,Luigi Sepe,ITA,Salernitana,31,32.5,3.9,0.07103825136612021
27,Marc-André ter Stegen,GER,Barcelona,31,100.2,5.499999999999999,0.0674846625766871
28,José Sá,POR,Wolves,30,106.2,10.600000000000001,0.06600249066002492
29,Bernd Leno,GER,Fulham,31,78.0,8.1,0.06580016246953696
30,Alban Lafont,FRA,Nantes,24,102.7,9.6,0.06417112299465241
31,Gregor Kobel,SUI,Dortmund,25,81.8,6.8999999999999995,0.0639481000926784
32,Rui Silva,POR,Betis,29,75.3,4.9,0.0539053905390539
33,Matías Dituro,ARG,Celta Vigo,34,38.0,2.3,0.053117782909930716
34,Yann Sommer,SUI,Inter,34,96.0,5.9,0.04800650935720098
35,Frederik Rønnow,DEN,Union Berlin,30,69.0,4.3,0.04761904761904761
36,Yehvann Diouf,FRA,Reims,23,65.0,3.7,0.04642409033877039
37,Samir Handanović,SVN,Inter,38,50.7,2.2,0.04564315352697096
38,Péter Gulácsi,HUN,RB Leipzig,33,52.0,2.3,0.04397705544933078
39,Alphonse Areola,FRA,West Ham,30,34.4,2.6,0.0429042904290429
40,Emiliano Martínez,ARG,Aston Villa,30,104.4,5.5,0.04247104247104247
41,David Soria,ESP,Getafe,30,113.80000000000001,5.3,0.037776193870277974
42,Guglielmo Vicario,ITA,Tottenham,26,106.9,6.1,0.03672486453943408
43,Philipp Köhn,SUI,Monaco,25,22.0,1.0,0.03125
44,Jordan Pickford,ENG,Everton,29,110.0,5.1000000000000005,0.03107861060329068
45,Neto,BRA,Bournemouth,34,61.5,3.0,0.030303030303030304
46,Kevin Müller,GER,Heidenheim,32,34.0,1.6,0.029850746268656716
47,Martin Dúbravka,SVK,Newcastle Utd,34,49.8,2.1,0.02688860435339309
48,Wojciech Szczęsny,POL,Juventus,33,95.5,1.9000000000000001,0.02237926972909305
49,Elia Caprile,ITA,Empoli,21,23.0,0.6,0.021739130434782608
